job_title,experience_level,employment_type,work_models,work_year,employee_residence,salary,salary_currency,salary_in_usd,company_location,company_size,job_title_encoded,experience_level_encoded,employment_type_encoded,work_models_encoded,employee_residence_encoded,salary_currency_encoded,company_location_encoded,company_size_encoded
46,2,2,2,2024,84,148100,20,148100,73,1,46,2,2,2,84,20,73,1
46,2,2,2,2024,84,98700,20,98700,73,1,46,2,2,2,84,20,73,1
73,3,2,2,2024,84,140032,20,140032,73,1,73,3,2,2,84,20,73,1
73,3,2,2,2024,84,100022,20,100022,73,1,73,3,2,2,84,20,73,1
19,2,2,1,2024,84,120000,20,120000,73,1,19,2,2,1,84,20,73,1
19,2,2,1,2024,84,62100,20,62100,73,1,19,2,2,1,84,20,73,1
124,0,2,1,2024,84,250000,20,250000,73,1,124,0,2,1,84,20,73,1
124,0,2,1,2024,84,150000,20,150000,73,1,124,0,2,1,84,20,73,1
46,1,2,2,2024,84,219650,20,219650,73,1,46,1,2,2,84,20,73,1
46,1,2,2,2024,84,136000,20,136000,73,1,46,1,2,2,84,20,73,1
25,2,2,1,2024,84,87800,20,87800,73,1,25,2,2,1,84,20,73,1
25,2,2,1,2024,84,76300,20,76300,73,1,25,2,2,1,84,20,73,1
73,2,2,2,2024,84,148100,20,148100,73,1,73,2,2,2,84,20,73,1
73,2,2,2,2024,84,98700,20,98700,73,1,73,2,2,2,84,20,73,1
46,2,2,1,2024,84,145500,20,145500,73,1,46,2,2,1,84,20,73,1
46,2,2,1,2024,84,93000,20,93000,73,1,46,2,2,1,84,20,73,1
73,2,2,1,2024,84,85000,20,85000,73,1,73,2,2,1,84,20,73,1
73,2,2,1,2024,84,75000,20,75000,73,1,73,2,2,1,84,20,73,1
73,2,2,1,2024,84,105000,20,105000,73,1,73,2,2,1,84,20,73,1
73,2,2,1,2024,84,70000,20,70000,73,1,73,2,2,1,84,20,73,1
46,3,2,1,2024,84,204662,20,204662,73,1,46,3,2,1,84,20,73,1
46,3,2,1,2024,84,184662,20,184662,73,1,46,3,2,1,84,20,73,1
73,2,2,1,2024,84,179000,20,179000,73,1,73,2,2,1,84,20,73,1
73,2,2,1,2024,84,112000,20,112000,73,1,73,2,2,1,84,20,73,1
36,0,2,1,2024,84,115000,20,115000,73,1,36,0,2,1,84,20,73,1
36,0,2,1,2024,84,85000,20,85000,73,1,36,0,2,1,84,20,73,1
84,1,2,1,2024,84,225000,20,225000,73,1,84,1,2,1,84,20,73,1
84,1,2,1,2024,84,180000,20,180000,73,1,84,1,2,1,84,20,73,1
98,3,2,1,2024,84,175000,20,175000,73,1,98,3,2,1,84,20,73,1
98,3,2,1,2024,84,110000,20,110000,73,1,98,3,2,1,84,20,73,1
107,3,2,1,2024,84,252000,20,252000,73,1,107,3,2,1,84,20,73,1
107,3,2,1,2024,84,157500,20,157500,73,1,107,3,2,1,84,20,73,1
100,3,2,1,2024,84,267900,20,267900,73,1,100,3,2,1,84,20,73,1
100,3,2,1,2024,84,234700,20,234700,73,1,100,3,2,1,84,20,73,1
36,0,2,1,2024,84,195500,20,195500,73,1,36,0,2,1,84,20,73,1
36,0,2,1,2024,84,68000,20,68000,73,1,36,0,2,1,84,20,73,1
70,3,2,2,2024,84,120000,20,120000,73,1,70,3,2,2,84,20,73,1
70,3,2,2,2024,84,90000,20,90000,73,1,70,3,2,2,84,20,73,1
73,3,2,1,2024,84,242000,20,242000,73,1,73,3,2,1,84,20,73,1
73,3,2,1,2024,84,106200,20,106200,73,1,73,3,2,1,84,20,73,1
100,3,2,1,2024,84,215000,20,215000,73,1,100,3,2,1,84,20,73,1
100,3,2,1,2024,84,146900,20,146900,73,1,100,3,2,1,84,20,73,1
13,2,2,1,2024,84,222200,20,222200,73,0,13,2,2,1,84,20,73,0
13,2,2,1,2024,84,136000,20,136000,73,0,13,2,2,1,84,20,73,0
73,2,2,2,2024,84,246000,20,246000,73,1,73,2,2,2,84,20,73,1
73,2,2,2,2024,84,190000,20,190000,73,1,73,2,2,2,84,20,73,1
46,2,2,2,2024,84,165000,20,165000,73,1,46,2,2,2,84,20,73,1
46,2,2,2,2024,84,129600,20,129600,73,1,46,2,2,2,84,20,73,1
23,2,2,1,2024,84,200400,20,200400,73,1,23,2,2,1,84,20,73,1
23,2,2,1,2024,84,126900,20,126900,73,1,23,2,2,1,84,20,73,1
100,3,2,2,2024,84,322000,20,322000,73,1,100,3,2,2,84,20,73,1
100,3,2,2,2024,84,230000,20,230000,73,1,100,3,2,2,84,20,73,1
36,3,2,1,2024,84,175520,20,175520,73,1,36,3,2,1,84,20,73,1
36,3,2,1,2024,84,103786,20,103786,73,1,36,3,2,1,84,20,73,1
8,3,2,2,2024,84,170000,20,170000,73,1,8,3,2,2,84,20,73,1
8,3,2,2,2024,84,130000,20,130000,73,1,8,3,2,2,84,20,73,1
73,3,2,1,2024,84,195000,20,195000,73,1,73,3,2,1,84,20,73,1
73,3,2,1,2024,84,146900,20,146900,73,1,73,3,2,1,84,20,73,1
73,2,2,2,2024,84,170400,20,170400,73,1,73,2,2,2,84,20,73,1
73,2,2,2,2024,84,106500,20,106500,73,1,73,2,2,2,84,20,73,1
36,2,2,1,2024,84,134500,20,134500,73,1,36,2,2,1,84,20,73,1
36,2,2,1,2024,84,100000,20,100000,73,1,36,2,2,1,84,20,73,1
46,2,2,1,2024,84,159000,20,159000,73,1,46,2,2,1,84,20,73,1
46,2,2,1,2024,84,111300,20,111300,73,1,46,2,2,1,84,20,73,1
100,2,2,1,2024,84,173400,20,173400,73,1,100,2,2,1,84,20,73,1
100,2,2,1,2024,84,99100,20,99100,73,1,100,2,2,1,84,20,73,1
26,3,2,1,2024,84,185000,20,185000,73,0,26,3,2,1,84,20,73,0
26,3,2,1,2024,84,79600,20,79600,73,0,26,3,2,1,84,20,73,0
65,1,2,2,2024,84,323700,20,323700,73,1,65,1,2,2,84,20,73,1
65,1,2,2,2024,84,190500,20,190500,73,1,65,1,2,2,84,20,73,1
73,3,2,1,2024,84,218000,20,218000,73,1,73,3,2,1,84,20,73,1
73,3,2,1,2024,84,145000,20,145000,73,1,73,3,2,1,84,20,73,1
126,3,2,1,2024,84,258100,20,258100,73,1,126,3,2,1,84,20,73,1
126,3,2,1,2024,84,151900,20,151900,73,1,126,3,2,1,84,20,73,1
65,2,2,1,2024,84,179000,20,179000,73,1,65,2,2,1,84,20,73,1
65,2,2,1,2024,84,106500,20,106500,73,1,65,2,2,1,84,20,73,1
73,2,2,1,2024,84,212800,20,212800,73,0,73,2,2,1,84,20,73,0
73,2,2,1,2024,84,111600,20,111600,73,0,73,2,2,1,84,20,73,0
100,3,2,2,2024,84,166700,20,166700,73,1,100,3,2,2,84,20,73,1
100,3,2,2,2024,84,150000,20,150000,73,1,100,3,2,2,84,20,73,1
100,3,2,1,2024,84,220000,20,220000,73,1,100,3,2,1,84,20,73,1
100,3,2,1,2024,84,170000,20,170000,73,1,100,3,2,1,84,20,73,1
100,3,2,2,2024,84,418000,20,418000,73,1,100,3,2,2,84,20,73,1
100,3,2,2,2024,84,141000,20,141000,73,1,100,3,2,2,84,20,73,1
125,3,2,1,2024,84,440000,20,440000,73,1,125,3,2,1,84,20,73,1
125,3,2,1,2024,84,100000,20,100000,73,1,125,3,2,1,84,20,73,1
111,1,2,0,2024,84,260000,20,260000,73,0,111,1,2,0,84,20,73,0
73,1,2,1,2024,84,246100,20,246100,73,1,73,1,2,1,84,20,73,1
73,1,2,1,2024,84,181900,20,181900,73,1,73,1,2,1,84,20,73,1
100,0,2,1,2024,84,91000,20,91000,73,1,100,0,2,1,84,20,73,1
100,0,2,1,2024,84,70000,20,70000,73,1,100,0,2,1,84,20,73,1
25,1,2,1,2024,84,177500,20,177500,73,1,25,1,2,1,84,20,73,1
